Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
36.0,4.2,30.327968,78.046106,30.397968,78.116106,1,1,2,3,2,3.0,0,0,46
21.0,4.7,10.003064,76.307589,10.043064,76.347589,3,0,1,2,2,1.0,0,0,23
23.0,4.7,18.56245,73.916619,18.65245,74.006619,2,3,1,1,3,1.0,0,0,21
34.0,4.3,30.899584,75.809346,30.919584,75.829346,2,2,0,0,2,0.0,0,0,20
24.0,4.7,26.463504,80.372929,26.593504,80.502929,1,1,1,3,3,1.0,0,0,41
29.0,4.5,19.176269,72.836721,19.266269,72.926721,2,1,2,0,1,1.0,0,0,20
35.0,4.0,12.311072,76.654878,12.351072,76.694878,5,0,1,2,3,1.0,0,0,33
33.0,4.2,18.592718,73.773572,18.702718,73.883572,2,1,2,3,2,1.0,0,0,40
34.0,4.9,17.426228,78.407495,17.496228,78.477495,0,1,0,3,2,1.0,0,0,41
21.0,4.7,22.552672,88.352885,22.582672,88.382885,5,1,0,2,2,1.0,0,2,15
25.0,4.1,18.563934,73.915367,18.643935,73.995367,2,1,0,3,2,2.0,0,0,36
31.0,4.7,23.357804,85.325146,23.487804,85.455146,2,2,2,2,1,0.0,0,0,26
37.0,5.0,11.003669,76.976494,11.013669,76.986494,2,2,1,3,2,1.0,0,0,20
33.0,4.3,12.986047,80.218114,13.116047,80.348114,5,1,2,2,3,1.0,0,0,39
25.0,4.0,19.221315,72.862381,19.261315,72.902381,0,0,1,0,2,1.0,0,0,34
29.0,4.5,13.005801,80.250744,13.115801,80.360744,4,3,2,2,1,1.0,0,0,15
27.0,5.0,26.849596,75.800512,26.879596,75.830512,3,1,0,3,2,0.0,0,2,18
35.0,4.3,21.160522,72.771477,21.250522,72.861477,0,2,1,1,3,0.0,0,0,38
32.0,4.0,12.934179,77.615797,13.024179,77.705797,5,1,0,0,2,1.0,0,0,47
23.0,4.8,18.51421,73.838429,18.62421,73.948429,5,2,2,0,1,0.0,0,2,12
31.0,4.8,11.022477,76.995667,11.052477,77.025667,2,2,2,1,2,1.0,0,0,26
36.0,4.1,21.160437,72.774209,21.210437,72.824209,3,2,0,1,2,1.0,0,2,22
26.0,4.3,15.51315,73.78346,15.56315,73.83346,2,2,0,0,2,0.0,0,2,21
38.0,4.9,15.561295,73.749478,15.601295,73.789478,0,0,1,1,3,1.0,0,2,25
32.0,3.5,0.0,0.0,0.11,0.11,3,1,1,3,3,0.0,0,2,35
32.0,4.6,18.563934,73.915367,18.693935,74.045367,0,2,2,1,3,1.0,0,0,30
33.0,4.9,18.55144,73.804855,18.62144,73.874855,4,3,1,3,2,1.0,0,0,22
20.0,4.7,18.593481,73.785901,18.633481,73.825901,5,0,1,3,3,0.0,0,2,10
20.0,4.8,21.173343,72.792731,21.183343,72.802731,2,2,2,2,3,1.0,0,0,19
35.0,5.0,17.451976,78.385883,17.471976,78.405883,4,2,2,3,3,1.0,0,2,11
26.0,4.9,12.972532,77.608179,12.992532,77.628179,3,2,2,0,3,0.0,0,0,11
22.0,4.8,12.972532,77.608179,13.042532,77.678179,1,2,1,3,2,1.0,0,0,28
35.0,4.3,13.064181,80.236442,13.134181,80.306442,0,3,1,3,2,1.0,0,0,33
30.0,4.7,19.121999,72.908493,19.201999,72.988493,0,3,1,1,3,1.0,0,0,33
37.0,4.7,21.149569,72.772697,21.239569,72.862697,2,1,0,3,2,3.0,0,0,52
28.0,4.6,19.091458,72.827808,19.201458,72.937808,3,1,1,3,3,1.0,0,0,22
37.0,4.9,22.539129,88.365507,22.559129,88.385507,1,2,1,3,3,1.0,0,2,16
23.0,4.9,19.221315,72.862381,19.281315,72.922381,4,1,2,1,1,0.0,0,0,11
27.0,4.9,12.970324,77.645748,13.030324,77.705748,5,3,1,1,3,1.0,0,0,25
37.0,4.8,13.064181,80.236442,13.104181,80.276442,0,3,0,1,2,1.0,0,2,26
33.0,5.0,21.175975,72.795503,21.185975,72.805503,4,0,2,3,3,1.0,0,0,18
31.0,4.9,23.369746,85.33982,23.409746,85.37982,1,3,1,3,2,1.0,0,0,16
31.0,4.8,12.914264,77.6784,13.024264,77.7884,3,2,2,1,3,1.0,0,0,23
25.0,5.0,0.0,0.0,0.03,0.03,0,2,0,3,2,0.0,0,0,15
28.0,4.8,11.003681,76.975525,11.083681,77.055525,2,1,0,1,2,1.0,0,0,36
31.0,4.7,21.173343,72.792731,21.233343,72.852731,0,2,2,3,2,0.0,0,0,16
24.0,4.7,10.96185,76.971082,11.05185,77.061082,4,3,0,0,2,0.0,0,2,19
39.0,4.6,27.165108,78.015053,27.255108,78.105053,4,2,1,3,2,1.0,0,0,27
39.0,4.2,0.0,0.0,0.08,0.08,1,1,2,3,3,1.0,0,1,49
32.0,4.5,26.88842,75.800689,26.89842,75.810689,5,2,2,0,3,0.0,0,0,20
36.0,4.7,0.0,0.0,0.06,0.06,0,1,1,3,2,1.0,0,0,30
25.0,4.8,26.913987,75.752891,26.993987,75.832891,2,2,1,1,3,0.0,0,2,18
33.0,4.9,12.3085,76.665808,12.3385,76.695808,4,1,2,1,3,0.0,0,0,22
30.0,4.4,21.183434,72.814492,21.253434,72.884492,0,2,2,1,3,1.0,0,0,34
33.0,5.0,19.254567,72.848923,19.364567,72.958923,2,2,0,0,2,0.0,0,2,24
36.0,4.9,18.55144,73.804855,18.59144,73.844855,1,3,2,1,3,1.0,0,0,17
21.0,4.8,25.449659,81.839744,25.469659,81.859744,2,2,2,2,1,0.0,0,0,14
39.0,4.9,30.372202,78.077151,30.422202,78.127151,3,1,2,2,2,1.0,0,0,30
23.0,4.8,0.0,0.0,0.02,0.02,3,2,1,2,3,1.0,0,0,15
35.0,4.8,0.0,0.0,0.04,0.04,1,3,2,0,3,1.0,0,2,16
39.0,4.6,12.972793,80.249982,13.062793,80.339982,0,1,1,3,3,1.0,0,0,36
22.0,4.7,21.157735,72.768778,21.197735,72.808778,4,0,1,0,3,1.0,0,2,18
32.0,4.6,21.186438,72.794115,21.226438,72.834115,1,3,1,2,3,0.0,0,0,17
24.0,4.8,0.0,0.0,0.08,0.08,2,2,1,0,2,1.0,0,2,15
29.0,4.7,0.0,0.0,0.02,0.02,1,2,0,0,2,1.0,0,0,17
30.0,4.7,12.935662,77.61413,12.975662,77.65413,1,2,1,1,3,0.0,0,0,19
26.0,4.7,17.431477,78.40035,17.491477,78.46035,1,2,1,0,2,0.0,0,0,10
20.0,4.5,0.0,0.0,0.05,0.05,1,1,1,1,2,1.0,0,0,27
35.0,4.1,13.064181,80.236442,13.154181,80.326442,2,1,1,0,2,2.0,0,0,37
39.0,4.6,12.933298,77.614293,13.023298,77.704293,1,1,1,1,3,2.0,0,0,44
34.0,4.7,22.311358,73.164798,22.351358,73.204798,5,0,2,1,1,1.0,0,0,28
27.0,4.7,12.934365,77.616155,13.044365,77.726155,0,1,2,3,3,1.0,0,0,42
30.0,4.8,0.0,0.0,0.11,0.11,5,2,1,3,2,1.0,0,0,25
25.0,4.4,13.086438,80.220672,13.196438,80.330672,0,3,2,3,3,1.0,0,0,39
25.0,4.7,19.254567,72.848923,19.364567,72.958923,3,3,0,2,2,0.0,0,2,20
30.0,5.0,26.913483,75.803139,26.933483,75.823139,3,0,1,0,2,1.0,0,0,31
24.0,4.6,17.411028,78.329645,17.471028,78.389645,3,1,1,0,2,0.0,0,0,13
39.0,4.8,18.516216,73.842527,18.566216,73.892527,3,1,1,2,2,1.0,0,0,28
25.0,4.8,15.5696,73.742294,15.6096,73.782294,5,0,1,3,3,1.0,0,2,19
37.0,4.6,19.876428,75.364792,19.956428,75.444792,1,2,0,0,2,2.0,1,2,42
24.0,5.0,12.939496,77.625999,12.949496,77.635999,1,2,0,1,2,1.0,0,0,23
25.0,4.2,17.433809,78.386744,17.543809,78.496744,3,1,0,2,2,1.0,0,0,39
32.0,4.6,23.374878,85.335739,23.384878,85.345739,3,2,2,1,2,1.0,0,0,25
34.0,4.7,-27.163303,78.057044,27.233303,78.127044,2,2,1,1,3,0.0,0,0,15
38.0,4.9,22.74806,75.8934,22.76806,75.9134,0,2,2,1,3,1.0,0,2,15
36.0,4.8,26.891191,75.802083,26.981191,75.892083,4,3,2,0,1,0.0,0,0,15
25.0,5.0,21.160437,72.774209,21.270437,72.884209,3,1,1,2,2,1.0,0,0,15
29.0,5.0,12.316967,76.603067,12.366967,76.653067,4,2,0,1,2,0.0,0,0,18
36.0,4.7,18.927584,72.832585,19.017584,72.922585,2,2,2,1,1,0.0,0,0,29
33.0,4.7,11.022298,76.998349,11.072298,77.048349,1,2,0,3,2,0.0,0,0,20
36.0,4.4,12.325461,76.632278,12.365461,76.672278,0,0,2,2,3,1.0,0,0,39
21.0,4.8,18.530963,73.828972,18.640963,73.938972,5,2,0,3,2,0.0,0,0,19
25.0,4.8,17.458998,78.500366,17.488998,78.530366,0,2,1,3,3,1.0,0,2,19
23.0,4.8,19.1813,72.836191,19.3113,72.966191,5,2,0,2,2,0.0,0,0,17
25.0,4.6,11.022477,76.995667,11.032477,77.005667,3,2,2,3,2,1.0,0,2,15
24.0,4.3,22.727021,75.884167,22.747021,75.904167,2,2,0,2,2,0.0,0,2,19
27.0,4.6,12.979166,77.640709,13.069166,77.730709,2,1,0,0,2,1.0,0,0,29
23.0,4.8,18.994237,72.825553,19.104237,72.935553,0,2,2,3,3,1.0,0,2,22
21.0,4.3,12.284747,76.625861,12.414747,76.755861,1,1,1,1,3,0.0,0,0,42
27.0,4.7,21.175975,72.795503,21.195975,72.815503,2,2,2,3,3,0.0,0,2,12
32.0,4.2,11.000762,76.981876,11.130762,77.111876,0,1,1,3,2,1.0,0,0,38
25.0,4.6,21.173343,72.792731,21.283343,72.902731,4,2,0,1,2,1.0,0,0,23
39.0,4.7,26.479108,80.315042,26.499108,80.335042,0,2,1,2,3,0.0,0,0,15
27.0,4.6,21.175104,72.804342,21.255104,72.884342,4,2,0,3,2,1.0,0,0,24
39.0,3.8,19.176269,72.836721,19.286269,72.946721,5,1,1,1,2,0.0,0,0,37
31.0,4.8,12.975377,77.696664,13.025377,77.746664,2,2,1,3,3,0.0,0,0,24
31.0,4.8,23.359194,85.325447,23.419194,85.385447,4,2,2,0,1,0.0,0,0,13
20.0,4.8,12.297954,76.665169,12.307954,76.675169,0,2,0,1,2,0.0,0,0,16
36.0,4.9,23.359407,85.325055,23.439407,85.405055,0,3,0,1,2,1.0,0,2,42
20.0,4.9,23.416792,85.316842,23.506792,85.406842,2,2,0,2,2,1.0,0,0,17
24.0,4.6,26.892312,75.806896,26.922313,75.836896,0,1,0,1,2,0.0,0,0,25
30.0,4.7,22.31279,73.170283,22.42279,73.280283,1,2,3,3,1,0.0,0,0,25
39.0,4.2,22.761593,75.886362,22.871593,75.996362,1,3,1,3,3,0.0,0,0,39
37.0,4.8,11.026117,76.944652,11.066117,76.984652,4,0,2,2,3,0.0,0,0,18
32.0,4.9,13.064181,80.236442,13.104181,80.276442,2,3,2,1,2,1.0,0,0,28
22.0,4.5,26.483042,80.317833,26.533042,80.367833,2,2,1,1,3,1.0,0,0,18
23.0,4.9,11.000762,76.981876,11.130762,77.111876,5,2,1,2,3,0.0,0,0,18
33.0,4.7,23.359033,85.325347,23.469033,85.435347,1,1,1,3,3,1.0,0,0,49
23.0,4.7,22.569358,88.433452,22.599358,88.463452,4,2,0,1,2,0.0,0,0,15
27.0,4.6,12.914264,77.6784,12.994264,77.7584,4,2,0,1,2,1.0,0,0,21
34.0,4.7,19.121999,72.908493,19.161999,72.948493,4,0,2,3,3,0.0,0,0,23
26.0,5.0,21.157729,72.768726,21.167729,72.778726,1,2,2,2,3,1.0,0,2,11
31.0,4.6,22.311603,73.165012,22.371603,73.225012,0,1,0,3,2,0.0,0,0,25
32.0,4.9,18.536562,73.896485,18.556562,73.916485,1,2,2,3,2,0.0,0,0,18
27.0,4.7,22.745536,75.893106,22.765536,75.913106,0,2,1,0,2,0.0,0,0,14
21.0,4.9,12.933298,77.614293,13.023298,77.704293,5,3,0,1,2,2.0,0,0,36
28.0,4.8,12.939496,77.625999,12.989496,77.675999,1,2,1,1,2,1.0,0,0,18
24.0,4.9,0.0,0.0,0.04,0.04,1,3,1,2,3,1.0,0,2,17
33.0,4.4,17.426228,78.407495,17.436228,78.417495,2,2,0,3,2,1.0,0,0,28
20.0,4.6,12.934365,77.616155,13.024365,77.706155,1,1,0,0,2,0.0,1,0,44
31.0,4.3,11.003669,76.976494,11.063669,77.036494,5,2,0,3,2,1.0,0,0,20
30.0,4.7,18.543626,73.905101,18.573626,73.935101,3,2,2,3,3,0.0,0,0,19
36.0,5.0,22.311358,73.164798,22.381358,73.234798,1,1,1,3,2,1.0,0,0,35
31.0,4.2,12.986047,80.218114,13.096047,80.328114,2,1,0,2,2,1.0,0,0,50
39.0,4.1,17.41233,78.449654,17.47233,78.509654,3,1,1,2,3,1.0,0,0,34
29.0,4.6,21.17106,72.789292,21.25106,72.869292,4,1,2,2,1,1.0,0,0,17
